timeSec,x,y
0.00,743,714
0.04,774,710
0.08,764,709
0.13,810,129
0.17,280,336
0.21,808,131
0.25,811,139
0.29,808,133
0.33,807,131
0.38,806,129
0.42,805,131
0.46,805,130
0.50,804,128
0.54,809,144
0.58,809,142
0.63,809,142
0.67,281,339
0.71,289,336
0.75,282,339
0.79,281,340
0.83,284,337
0.88,806,134
0.92,286,336
0.96,286,336
1.00,289,335
1.04,289,335
1.08,285,336
1.13,285,336
1.17,285,336
1.21,289,335
1.25,289,334
1.29,292,333
1.33,292,333
1.38,291,334
1.42,807,133
1.46,807,133
1.50,290,335
1.54,293,333
1.58,292,334
1.63,292,333
1.67,289,334
1.71,292,333
1.75,292,333
1.79,292,333
1.84,291,333
1.88,290,333
1.92,287,334
1.96,286,334
2.00,288,333
2.04,288,333
2.09,290,332
2.13,290,332
2.17,5,37
2.21,288,332
2.25,288,333
2.29,287,333
2.34,288,332
2.38,6,38
2.42,289,332
2.46,282,422
2.50,283,422
2.54,282,422
2.59,282,422
2.63,281,422
2.67,285,423
2.71,284,423
2.75,283,423
2.79,283,423
2.84,283,423
2.88,282,423
2.92,283,423
2.96,283,423
3.00,280,422
3.04,281,423
3.09,281,423
3.13,279,423
3.17,279,423
3.21,279,423
3.25,278,423
3.29,278,423
3.34,277,423
3.38,277,423
3.42,277,424
3.46,276,424
3.50,276,424
3.55,275,424
3.59,274,425
3.63,274,425
3.67,273,425
3.71,272,426
3.75,264,426
3.80,263,426
3.84,267,427
3.88,268,427
3.92,267,428
3.96,266,428
4.00,265,428
4.05,263,428
4.09,261,429
4.13,256,430
4.17,257,433
4.21,253,434
4.25,248,435
4.30,243,436
4.34,3,71
4.38,234,438
4.42,229,439
4.46,281,334
4.50,281,335
4.55,281,334
4.59,281,335
4.63,280,336
4.67,280,335
4.71,280,335
4.75,280,335
4.80,199,454
4.84,198,456
4.88,200,457
4.92,203,457
4.96,206,458
5.01,209,457
5.05,211,457
5.09,212,457
5.13,212,457
5.17,213,453
5.21,214,453
5.26,214,453
5.30,212,457
5.34,212,458
5.38,214,455
5.42,213,458
5.46,213,458
5.51,212,459
5.55,212,460
5.59,212,460
5.63,212,460
5.67,213,460
5.71,212,460
5.76,212,460
5.80,212,460
5.84,212,460
5.88,213,460
5.92,212,459
5.96,212,460
6.01,212,460
6.05,212,460
6.09,212,461
6.13,212,462
6.17,212,461
6.21,212,462
6.26,212,462
6.30,212,463
6.34,279,339
6.38,280,339
6.42,281,339
6.46,213,459
6.51,212,459
6.55,8,52
6.59,8,49
6.63,13,27
6.67,146,496
6.72,144,496
6.76,142,497
6.80,13,27
6.84,281,339
6.88,209,463
6.92,210,464
6.97,279,340
7.01,209,463
7.05,208,462
7.09,208,459
7.13,123,518
7.17,208,464
7.22,208,464
7.26,209,464
7.30,209,464
7.34,14,23
7.38,208,465
7.42,208,465
7.47,208,465
7.51,14,23
7.55,14,22
7.59,15,21
7.63,3,78
7.67,92,536
7.72,90,539
7.76,82,545
7.80,208,466
7.84,208,466
7.88,84,546
7.92,85,545
7.97,85,545
8.01,85,546
8.05,192,410
8.09,85,546
8.13,84,546
8.17,172,414
8.22,166,417
8.26,162,420
8.30,158,422
8.34,84,546
8.38,84,545
8.43,84,545
8.47,83,545
8.51,83,545
8.55,83,546
8.59,83,546
8.63,83,547
8.68,83,547
8.72,83,547
8.76,83,547
8.80,203,466
8.84,9,48
8.88,10,45
8.93,10,45
8.97,8,50
9.01,10,41
9.05,201,466
9.09,200,465
9.13,9,47
9.18,199,466
9.22,197,465
9.26,197,465
9.30,198,466
9.34,196,466
9.38,197,466
9.43,195,466
9.47,194,466
9.51,194,466
9.55,193,466
9.59,193,466
9.63,191,466
9.68,191,466
9.72,188,466
9.76,183,465
9.80,184,466
9.84,182,466
9.88,182,466
9.93,182,466
9.97,181,466
10.01,180,467
10.05,184,467
10.09,12,538
10.14,10,542
10.18,180,467
10.22,176,467
10.26,177,468
10.30,175,468
10.34,172,469
10.39,172,469
10.43,172,469
10.47,172,470
10.51,172,470
10.55,173,471
10.59,172,471
10.64,171,471
10.68,171,471
10.72,171,472
10.76,169,472
10.80,169,473
10.84,169,473
10.89,168,473
10.93,167,474
10.97,167,474
11.01,167,475
